cpf,id_pessoa_fisica,cidade atual,estado atual,estado de origem do cpf
,68155307,XIQUE-XIQUE,BAHIA,
,59903232,SANTOS,SAOPAULO,
,239835064,SALVADOR,BAHIA,
,681592256,BOAVISTA,RORAIMA,
,396703592,ARACI,BAHIA,
,125493608,CATU,BAHIA,
,50360141,SAOBERNARDODOCAMPO,SAOPAULO,
,172665957,ARACAJU,SERGIPE,
,89856035,GOIANIA,GOIAS,
,657294053,RIBASDORIOPARDO,MATOGROSSODOSUL,
,335563381,PACAJUS,CEARA,
,243100880,IBITINGA,SAOPAULO,
,272268837,SAOPAULO,SAOPAULO,
,112433856,CURITIBA,PARANA,
,762246547,BALNEARIOCAMBORIU,SANTACATARINA,
,283280907,OSASCO,SAOPAULO,
,49410677,MACAE,RIODEJANEIRO,
,117979363,RECIFE,PERNAMBUCO,
,22158237,CONTAGEM,MINASGERAIS,
,346143461,ANAPOLIS,GOIAS,
,664014251,SAOPAULO,SAOPAULO,
,44305675,PORTOALEGRE,RIOGRANDEDOSUL,
,65424784,MONTEALTO,SAOPAULO,
,144953539,BRASILIA,DISTRITOFEDERAL,
,138706528,RECIFE,PERNAMBUCO,
,665882565,PONTAGROSSA,PARANA,
,667061603,RIODEJANEIRO,RIODEJANEIRO,
,186656376,CARUARU,PERNAMBUCO,
,164463008,SUZANO,SAOPAULO,
,55602528,SAOPAULO,SAOPAULO,
,362421819,JEQUIE,BAHIA,
,260995963,SALVADOR,BAHIA,
,198623368,IMBARIE,RIODEJANEIRO,
,207617664,URUGUAIANA,RIOGRANDEDOSUL,
,124086192,SAOLUIS,MARANHAO,
,104903773,CONCORDIA,SANTACATARINA,
,699147355,CUIABA,MATOGROSSO,
,113138941,FORTALEZA,CEARA,
,281123533,MORENO,PERNAMBUCO,
,195588704,GOIANIA,GOIAS,
,179802328,RECIFE,PERNAMBUCO,
,259287485,ARAQUARI,SANTACATARINA,
,713338227,ULIANOPOLIS,PARA,
,101254392,APUCARANA,PARANA,
,661808813,RIODEJANEIRO,RIODEJANEIRO,
,672997856,SAOPAULO,SAOPAULO,
,182529256,BARRABONITA,SAOPAULO,
,69225632,LENCOISPAULISTA,SAOPAULO,
,264102171,BELOHORIZONTE,MINASGERAIS,
,104854013,BREJO,MARANHAO,
,359740685,INHAMBUPE,BAHIA,
,208719243,UBERLANDIA,MINASGERAIS,
,263542613,TEOLANDIA,BAHIA,
,7369021,RIODEJANEIRO,RIODEJANEIRO,
,223723232,ARACAJU,SERGIPE,
,285477515,SAOPAULO,SAOPAULO,
,730133677,BRASILIA,DISTRITOFEDERAL,
,733923469,FORTALEZA,CEARA,
,225709467,ITAPETINGA,BAHIA,
,6076059,SANTALUZIA,MINASGERAIS,
,764869931,RIODEJANEIRO,RIODEJANEIRO,
,105863152,SANTACRUZDOCAPIBARIBE,PERNAMBUCO,
,154960944,SANTOANTONIODODESCOBERTO,GOIAS,
,146863563,CURITIBA,PARANA,
,170712616,URUGUAIANA,RIOGRANDEDOSUL,
,684542960,SANTOANDRE,SAOPAULO,
,220318040,SOROCABA,SAOPAULO,
,247544080,FEIRADESANTANA,BAHIA,
,124915613,CORDEIROS,BAHIA,
,27182525,LAURODEFREITAS,BAHIA,
,73317133,SAOJOSEDOSPINHAIS,PARANA,
,187022005,QUIXADA,CEARA,
,94915941,COSMOPOLIS,SAOPAULO,
,285089960,GUARULHOS,SAOPAULO,
,689011416,EMBU-GUACU,SAOPAULO,
,259631771,APARECIDADEGOIANIA,GOIAS,
,82852939,BELOHORIZONTE,MINASGERAIS,
,86486328,SAOPAULO,SAOPAULO,
,71176400,BELEM,PARA,
,224834571,BELOHORIZONTE,MINASGERAIS,
,267706491,SALVADOR,BAHIA,
,196831816,SALVADOR,BAHIA,
,292541216,MOGIGUACU,SAOPAULO,
,240450491,SAOPAULO,SAOPAULO,
,214435605,CAMBE,PARANA,
,237801083,SOROCABA,SAOPAULO,
,369686867,CRATO,CEARA,
,42945973,CAMPINAS,SAOPAULO,
,29622363,CUIABA,MATOGROSSO,
,62715341,FEIRADESANTANA,BAHIA,
,218206181,MACAE,RIODEJANEIRO,
,64440629,SANTAHELENADEGOIAS,GOIAS,
,40535200,SAOPAULO,SAOPAULO,
,671542701,PINDAMONHANGABA,SAOPAULO,
11435403525,687332675,AQUIRAZ,CEARA,
,268614373,CRUZALTA,RIOGRANDEDOSUL,
,181030120,CAMPOGRANDE,MATOGROSSODOSUL,
,98422813,BELOHORIZONTE,MINASGERAIS,
,165809563,PORTOALEGRE,RIOGRANDEDOSUL,
,169382149,CUIABA,MATOGROSSO,
,291766064,SAOPAULO,SAOPAULO,
,624161656,GUARULHOS,SAOPAULO,
,166945840,PAULISTA,ESPIRITOSANTO,
,94141595,PASSOFUNDO,RIOGRANDEDOSUL,
,118730672,VARZEAGRANDE,MATOGROSSO,
,102477139,GUARULHOS,SAOPAULO,
,53626549,MARACAI,SAOPAULO,
,815516717,SAOPAULO,SAOPAULO,
,268796008,SAOCAITANO,PERNAMBUCO,
,172429883,DUQUEDECAXIAS,RIODEJANEIRO,
,656024323,RIOBRANCO,ACRE,
,79246648,SALVADOR,BAHIA,
,96393061,CUIABA,MATOGROSSO,
,171190501,BRASILIA,DISTRITOFEDERAL,
,94212571,SAOGABRIEL,RIOGRANDEDOSUL,
,791453,POMPEU,MINASGERAIS,
,181771624,LONDRINA,PARANA,
,663358709,SAOLEOPOLDO,RIOGRANDEDOSUL,
,132985981,RIODEJANEIRO,RIODEJANEIRO,
,34729485,TUPA,SAOPAULO,
,394523392,CAMPINAS,SAOPAULO,
,854730363,RIBEIRAOPRETO,SAOPAULO,
,208719299,SALVADOR,BAHIA,
,692086445,IGARASSU,PERNAMBUCO,
,280962480,MARILIA,SAOPAULO,
,761992483,GOIANIA,GOIAS,
,831176237,MARACANAU,CEARA,
,38184155,RIODEJANEIRO,RIODEJANEIRO,
,185844456,PORTOALEGRE,RIOGRANDEDOSUL,
,2932005,JACAREI,SAOPAULO,
,18275717,RECIFE,PERNAMBUCO,
,17894005,RIODEJANEIRO,RIODEJANEIRO,
,14888707,RIODEJANEIRO,RIODEJANEIRO,
,124879168,FORTALEZA,CEARA,
,207173557,SANTOAMARO,BAHIA,
,414486083,MOSTARDAS,RIOGRANDEDOSUL,
,223506928,PAULOAFONSO,BAHIA,
,2179797,CAMPOGRANDE,MATOGROSSODOSUL,
,41599875,GOIANIA,GOIAS,
,37926541,SAOPAULO,SAOPAULO,
,70337907,CURITIBA,PARANA,
,659160608,RIODEJANEIRO,RIODEJANEIRO,
,244671941,TAUBATE,SAOPAULO,
,384035709,OURICURI,PERNAMBUCO,
,185363491,BOAESPERANCA,MINASGERAIS,
,147794549,PETROLINA,PERNAMBUCO,
,50179445,SAOMATEUS,ESPIRITOSANTO,
,275116547,CAMPOFORMOSO,BAHIA,
,287965136,JUNDIAI,SAOPAULO,
,79708085,SAOSEBASTIAO,SAOPAULO,
,252725939,SOROCABA,SAOPAULO,
,4021856,PORTOALEGRE,RIOGRANDEDOSUL,
,672681901,ARARAQUARA,SAOPAULO,
,354221965,POA,SAOPAULO,
,115503083,JACINTOMACHADO,SANTACATARINA,
,672434413,SUZANO,SAOPAULO,
,81081136,BROTAS,SAOPAULO,
,690463061,SAOPAULO,SAOPAULO,
,760095400,IMPERATRIZ,MARANHAO,
,253928267,COLORADODOOESTE,RONDONIA,
,102816016,PIABETA,RIODEJANEIRO,
,211314235,SAOPAULO,SAOPAULO,
,338626203,PERDIZES,MINASGERAIS,
,145504141,CAMPOGRANDE,MATOGROSSODOSUL,
,95688075,ITABAIANA,SERGIPE,
,57751653,JAU,SAOPAULO,
,92354128,SAOJOSEDORIOPRETO,SAOPAULO,
,22200597,JUQUITIBA,SAOPAULO,
,195885941,SAOLUIS,MARANHAO,
,676296376,SAOPAULO,SAOPAULO,
,1518344,SAOPAULO,SAOPAULO,
,142450229,RIODEJANEIRO,RIODEJANEIRO,
,281852848,JABOATAODOSGUARARAPES,PERNAMBUCO,
,265725488,SAOPAULO,SAOPAULO,
,150976709,LONDRINA,PARANA,
,241795832,SAOJOSEDORIOPRETO,SAOPAULO,
,148503979,BARRAS,PIAUI,
,253038360,GUARATINGUETA,SAOPAULO,
,350983093,EUSEBIO,CEARA,
,204475549,NILOPOLIS,RIODEJANEIRO,
,158717784,BELFORDROXO,RIODEJANEIRO,
,230438899,ALTOS,PIAUI,
,213455971,GALIA,SAOPAULO,
,229580907,AGUAFRIA,BAHIA,
,229483760,FORTALEZA,CEARA,
,217926965,SAOJOSEDERIBAMAR,MARANHAO,
,408974168,NATAL,RIOGRANDEDONORTE,
,31517176,SAOCARLOS,SAOPAULO,
,417414187,CAMACARI,BAHIA,
,246054869,ABREUELIMA,PERNAMBUCO,
,368055232,JACOBINA,BAHIA,
,254370261,SALVADOR,BAHIA,
,132435104,BELOHORIZONTE,MINASGERAIS,
,51042536,RESENDE,RIODEJANEIRO,
,36104853,SAOPAULO,SAOPAULO,
,254089101,SANTOS,SAOPAULO,
,95794981,CANAADOSCARAJAS,PARA,
,106444293,MANAUS,AMAZONAS,
,108110960,CHADEALEGRIA,PERNAMBUCO,
,113975229,SERRA,ESPIRITOSANTO,
,115853603,CHORO,CEARA,
,227516507,JOAOPESSOA,PARAIBA,
,355436285,PAULOAFONSO,BAHIA,
,7076512,SAOPAULO,SAOPAULO,
,14331573,SAOPAULO,SAOPAULO,
,98354245,CUIABA,MATOGROSSO,
,279443760,MARACANAU,CEARA,
,792630293,MANAUS,AMAZONAS,
,659672552,VIDEIRA,SANTACATARINA,
,652049568,ARACAJU,SERGIPE,
,279939808,PARAUAPEBAS,PARA,
,399636312,ALFREDOCHAVES,ESPIRITOSANTO,
,224169176,PAULISTA,PERNAMBUCO,
,26678123,ITAPEVI,SAOPAULO,
,181468725,CARATINGA,MINASGERAIS,
,158296483,BARRADOGARCAS,MATOGROSSO,
,57450059,SAOPAULO,SAOPAULO,
,236663939,BLUMENAU,SANTACATARINA,
,740337899,UMBAUBA,SERGIPE,
,648343096,AGUASLINDASDEGOIAS,GOIAS,
,66655152,CASTANHAL,PARA,
,18663760,CURITIBA,PARANA,
,125907485,REDENCAO,PARA,
,66975043,MACEIO,ALAGOAS,
,142112643,ALTONIA,PARANA,
,352548008,SALVADOR,BAHIA,
,22518952,PIRACICABA,SAOPAULO,
,335552915,SALVADOR,BAHIA,
,35823800,TAIUVA,SAOPAULO,
,55004547,SAOPAULO,SAOPAULO,
,40113307,OSASCO,SAOPAULO,
,85805408,JAU,SAOPAULO,
,137803088,LAGONORTE,DISTRITOFEDERAL,
,252469467,SANTOANDRE,SAOPAULO,
,75017253,OSASCO,SAOPAULO,
,385554176,SANTAVITORIA,MINASGERAIS,
,259643269,RIOVERDE,GOIAS,
,832384341,PETROPOLIS,RIODEJANEIRO,
,64978589,LAGOSUL,DISTRITOFEDERAL,
,204412205,FORTALEZA,CEARA,
,341761989,FORTALEZA,CEARA,
,17417661,PITANGUI,MINASGERAIS,
,52979184,SAOPAULO,SAOPAULO,
,151582029,COLINASDOTOCANTINS,TOCANTINS,
,33251475,RIBEIRAOPRETO,SAOPAULO,
,133134885,RECIFE,PERNAMBUCO,
,663702973,PARANATINGA,MATOGROSSO,
,271914952,MANAUS,AMAZONAS,
,127070307,LAURODEFREITAS,BAHIA,
,45883149,RIODEJANEIRO,RIODEJANEIRO,
,37122568,SAOPAULO,SAOPAULO,
,79890403,SAOPAULO,SAOPAULO,
,135226624,PATOSDEMINAS,MINASGERAIS,
,134228437,BELEM,ALAGOAS,
,242713632,SAOJOSEDOSCAMPOS,SAOPAULO,
,188032515,GOIANIA,GOIAS,
,133320843,MANAUS,AMAZONAS,
,208451389,MEDEIROSNETO,BAHIA,
,63228515,FORTALEZA,CEARA,
,279860720,ALEXANIA,GOIAS,
,152429651,SALVADOR,BAHIA,
,7585680,ARMACAODOSBUZIOS,RIODEJANEIRO,
,831146005,BELEM,PARA,
,663127837,LAGONORTE,DISTRITOFEDERAL,
,68826989,SATIRODIAS,BAHIA,
,186000205,ASSARE,CEARA,
,745280016,JUINA,MATOGROSSO,
,167169299,IMBE,RIOGRANDEDOSUL,
,61295792,GOIANIA,GOIAS,
,25207043,PRINCESAISABEL,PARAIBA,
,267725853,IBIRITE,MINASGERAIS,
,116277808,ARACAJU,SERGIPE,
,338367923,GUAXUPE,MINASGERAIS,
,46872165,MANAUS,AMAZONAS,
,249037912,SAUBARA,BAHIA,
,287668749,CURITIBA,PARANA,
,273477029,JI-PARANA,RONDONIA,
,54877875,OLINDA,PERNAMBUCO,
,198926224,SAODOMINGOSDOPRATA,MINASGERAIS,
,195762581,ITAPEVA,SAOPAULO,
,796308472,BARREIRAS,BAHIA,
,691040019,JOSEBONIFACIO,SAOPAULO,
,67440064,VARZEAGRANDE,MATOGROSSO,
,274030165,CAMBORIU,SANTACATARINA,
,186453984,RIODEJANEIRO,RIODEJANEIRO,
,414451109,BAURU,SAOPAULO,
,349098893,SALVADOR,BAHIA,
,813547768,LAURODEFREITAS,BAHIA,
,226782680,MARILIA,SAOPAULO,
,131705224,IPIAU,BAHIA,
,170729728,CUIABA,MATOGROSSO,
,353937291,BOAVISTA,RORAIMA,
,660150549,PORTOALEGRE,RIOGRANDEDOSUL,
,676776955,JAU,SAOPAULO,
,764162365,SALVADOR,BAHIA,
,206037621,CABODESANTOAGOSTINHO,PERNAMBUCO,
,685168619,IGARAPE-MIRI,PARA,
,690383533,PARAGUACUPAULISTA,SAOPAULO,
,36620419,BELOHORIZONTE,MINASGERAIS,
,84158653,RIBEIRAOPRETO,SAOPAULO,
,201714701,SALVADOR,BAHIA,
,857225525,MACEIO,ALAGOAS,
,719107979,RIODEJANEIRO,RIODEJANEIRO,
,94354955,BELOHORIZONTE,MINASGERAIS,
,43911128,SAOPAULO,SAOPAULO,
,355047901,BACABAL,MARANHAO,
,164442296,SALVADOR,BAHIA,
,117623067,BIRITINGA,BAHIA,
,92776760,COLOMBO,PARANA,
,198396840,PAULISTA,PERNAMBUCO,
,259354491,PORTOVELHO,RONDONIA,
,190441493,DOMVICOSO,MINASGERAIS,
,240405096,SANTOANTONIODOMONTE,MINASGERAIS,
,788411720,MANAUS,AMAZONAS,
,378074037,SERRANOPOLISDOIGUACU,PARANA,
,80489909,MAUA,SAOPAULO,
,92098976,LIMEIRA,SAOPAULO,
,736059544,PARAUAPEBAS,PARA,
,344238184,NAZAREZINHO,PARAIBA,
,111804168,PIRACURUCA,PIAUI,
,195364272,RIODEJANEIRO,RIODEJANEIRO,
,203979568,LAGOASANTA,GOIAS,
,42890472,FORTALEZA,CEARA,
,674466213,SAOJOSEDOSCAMPOS,SAOPAULO,
,343324176,MANAUS,AMAZONAS,
,652807547,ANAPOLIS,GOIAS,
,847874237,BELEM,PARA,
,394041280,BELAVISTA,MATOGROSSODOSUL,
,761627488,BRASILIA,DISTRITOFEDERAL,
,118531667,LAGONORTE,DISTRITOFEDERAL,
,78403819,GURUPI,TOCANTINS,
,713061344,JUARA,MATOGROSSO,
,154950467,SAOPAULO,SAOPAULO,
,345871536,MIRASSOL,SAOPAULO,
,748206075,PRAIAGRANDE,SAOPAULO,
,164000275,SETELAGOAS,MINASGERAIS,
,193581683,CUITE,PARAIBA,
,125888667,COLONIADOGURGUEIA,PIAUI,
,140823347,RIOVERDE,GOIAS,
,295560645,SIMOESFILHO,BAHIA,
,213336267,LAURODEFREITAS,BAHIA,
,286526376,MANAUS,AMAZONAS,
,181102787,RECIFE,PERNAMBUCO,
,26106152,SANTAREM,PARA,
,137170392,RECIFE,PERNAMBUCO,
,389042448,UBERLANDIA,MINASGERAIS,
,217283565,FEIRADESANTANA,BAHIA,
,212099669,LIMOEIRODONORTE,CEARA,
,169356237,FLORIANOPOLIS,SANTACATARINA,
,1444403,RIBEIRAODASNEVES,MINASGERAIS,
,189864957,VESPASIANO,MINASGERAIS,
,18245565,VESPASIANO,MINASGERAIS,
,253932507,FORTALEZA,CEARA,
,91579221,BRASILIA,DISTRITOFEDERAL,
,375452669,CAJUEIRO,ALAGOAS,
,140669568,CUIABA,MATOGROSSO,
,235615712,BELOHORIZONTE,MINASGERAIS,
,129679368,CARDEALDASILVA,BAHIA,
,118200805,SANTIAGO,RIOGRANDEDOSUL,
,124012568,ANANINDEUA,PARA,
,814838789,IMPERATRIZ,MARANHAO,
,54156440,BARRAMANSA,RIODEJANEIRO,
,92100243,SAOPAULO,SAOPAULO,
,70284109,JUAZEIRODONORTE,CEARA,
,385623304,JULIOMESQUITA,SAOPAULO,
,346935003,ITAMBE,PERNAMBUCO,
,155890285,SAOPAULO,SAOPAULO,
,248410861,CONTAGEM,MINASGERAIS,
,18911877,SAOPAULO,SAOPAULO,
,363907075,ITAMARI,BAHIA,
,254477301,FORTALEZA,CEARA,
,130948635,SANTOANDRE,SAOPAULO,
,51176317,DELMIROGOUVEIA,ALAGOAS,
,738031093,SAOPAULO,SAOPAULO,
,121679821,TRINDADE,GOIAS,
,52814552,SAOJOAQUIMDABARRA,SAOPAULO,
,185591528,BRASILIA,DISTRITOFEDERAL,
,257811736,ITAPECERICADASERRA,SAOPAULO,
,353034288,MACEIO,ALAGOAS,
,117008341,GRAVATA,PERNAMBUCO,
,193840843,VARZEAGRANDE,MATOGROSSO,
,176104419,PORTOALEGRE,RIOGRANDEDOSUL,
,149125339,RIODEJANEIRO,RIODEJANEIRO,
,138797453,GUARARAPES,SAOPAULO,
,120092341,MACAPA,AMAPA,
,42814397,SALVADOR,BAHIA,
,414606787,MANAUS,AMAZONAS,
,159967461,FORTALEZA,CEARA,
,149642083,RIODOPRADO,MINASGERAIS,
,242339027,RIOBRANCO,ACRE,
,12226680,ARARAQUARA,SAOPAULO,
,242001477,MAIRINQUE,SAOPAULO,
,71474344,SAOPAULO,SAOPAULO,
,62042984,MARABA,PARA,
,353803739,SAOGONCALODOAMARANTE,RIOGRANDEDONORTE,
,872792840,TUBARAO,SANTACATARINA,
,225241877,BALSAS,MARANHAO,
,166312275,VARZEAGRANDE,MATOGROSSO,
,275149968,SAOPAULO,SAOPAULO,
,361288472,LAURODEFREITAS,BAHIA,
,60427704,GOIANIA,GOIAS,
,182611547,CURITIBA,PARANA,
,87515997,MANAUS,AMAZONAS,
,132360523,BELEM,PARA,
,251041861,BARRADOMENDES,BAHIA,
,164615709,GUARAPUAVA,PARANA,
,361001555,MANAUS,AMAZONAS,
,335350144,ANAPOLIS,GOIAS,
,232888333,SAOPAULO,SAOPAULO,
,287161216,SALVADOR,BAHIA,
,198204301,APIAI,SAOPAULO,
,116166072,CARAMBEI,PARANA,
,113855693,LINHARES,ESPIRITOSANTO,
,245200915,DIADEMA,SAOPAULO,
,369423645,ITAICABA,CEARA,
,14437523,SAOPAULO,SAOPAULO,
,105980061,TRAIPU,ALAGOAS,
,335636693,RECIFE,PERNAMBUCO,
,280267176,SALVADOR,BAHIA,
,108064117,PARANAGUA,PARANA,
,98926453,CASCAVEL,PARANA,
,211014128,SALVADOR,BAHIA,
,752125099,PARNAMIRIM,RIOGRANDEDONORTE,
,234099992,BRASILIA,DISTRITOFEDERAL,
,220397653,FORTALEZA,CEARA,
,192681984,IBIRITE,MINASGERAIS,
,175871259,ITABAIANA,SERGIPE,
,81747803,ARARAS,SAOPAULO,
,67473677,JATAI,GOIAS,
,655476779,CASTANHAL,PARA,
,89941251,JOSEDEFREITAS,PIAUI,
,129694219,BELOHORIZONTE,MINASGERAIS,
,29396389,RECIFE,PERNAMBUCO,
,150074312,RIODEJANEIRO,RIODEJANEIRO,
,66586069,JI-PARANA,RONDONIA,
,249201024,AVARE,SAOPAULO,
,45087493,OLINDA,PERNAMBUCO,
,372884328,ANANINDEUA,PARA,
,99775763,UBERABA,MINASGERAIS,
,793927347,TERESINA,PIAUI,
,79530736,BELEM,PARA,
,21925069,CARIACICA,ESPIRITOSANTO,
,397459507,PORTONACIONAL,TOCANTINS,
,380662427,NITEROI,RIODEJANEIRO,
,379328501,OURICURI,PERNAMBUCO,
,361832949,JOAOLISBOA,MARANHAO,
,288018080,CIDADENAOENCONTRADA,ESTADONAOENCONTRADO,
,382953299,GOIANIA,GOIAS,
,161298392,COROATA,MARANHAO,
,217427845,PARNAMIRIM,RIOGRANDEDONORTE,
,409685928,BALNEARIOARROIODOSILVA,SANTACATARINA,
,372723141,RECIFE,PERNAMBUCO,
,376186771,ITUPIRANGA,PARA,
,73184339,FRANCA,SAOPAULO,
,240474029,DIVISOPOLIS,MINASGERAIS,
,184143157,SALVADOR,BAHIA,
6090237051,123419344,GUARULHOS,SAOPAULO,
,80589003,ITAJAI,SANTACATARINA,
,201076533,PARNAMIRIM,RIOGRANDEDONORTE,
,117171685,MACAPA,AMAPA,
,55286728,RAFARD,SAOPAULO,
,111367277,GUARAPARI,ESPIRITOSANTO,
,731893656,BELFORDROXO,RIODEJANEIRO,
,42757587,FRUTAL,MINASGERAIS,
,209081787,GUARULHOS,SAOPAULO,
,63520381,SAOGONCALODOAMARANTE,RIOGRANDEDONORTE,
,734995453,FORMOSADORIOPRETO,BAHIA,
,831175648,BRASILIA,DISTRITOFEDERAL,
,238031157,SAOJOAODELREI,MINASGERAIS,
,114540544,NATAL,RIOGRANDEDONORTE,
,151682736,RECIFE,PERNAMBUCO,
,136818157,FORTALEZA,CEARA,
,349453717,PATOS,PARAIBA,
,288481997,NOVASERRANA,MINASGERAIS,
,361068160,MANAUS,AMAZONAS,
,34928584,SAOPAULO,SAOPAULO,
,748011501,JOAOPESSOA,PARAIBA,
,112159011,RIODEJANEIRO,RIODEJANEIRO,
,176142411,SAOBERNARDODOCAMPO,SAOPAULO,
,2557688,DUQUEDECAXIAS,RIODEJANEIRO,
,361662997,MACAPA,AMAPA,
,114286960,CASCAVEL,CEARA,
,209547061,JOAOPESSOA,PARAIBA,
,150238523,LAGONORTE,DISTRITOFEDERAL,
,38065736,POCOSDECALDAS,MINASGERAIS,
,335945357,BELEM,PARA,
,256141240,SANTABARBARAD'OESTE,SAOPAULO,
,118722701,BELOHORIZONTE,MINASGERAIS,
,146836819,BALNEARIOCAMBORIU,SANTACATARINA,
,40514443,UBATUBA,SAOPAULO,
,869514888,MARACANAU,CEARA,
,268120752,FORTALEZA,CEARA,
,186186528,RIODEJANEIRO,RIODEJANEIRO,
,76678123,PONTAGROSSA,PARANA,
,22214539,NOVALIMA,MINASGERAIS,
,57816093,RIODEJANEIRO,RIODEJANEIRO,
,20780403,MARINGA,PARANA,
,168065883,CONQUISTA,MINASGERAIS,
,24332067,RIOCLARO,SAOPAULO,
,13268405,BARAUNA,RIOGRANDEDONORTE,
,674978723,COTIA,SAOPAULO,
,337094064,GOIANIA,GOIAS,
,85031507,ITIUBA,BAHIA,
,187995024,JUIZDEFORA,MINASGERAIS,
,790680101,CANELA,RIOGRANDEDOSUL,
,207845291,RIODEJANEIRO,RIODEJANEIRO,
,125688077,REDENCAO,PARA,
,247790176,CARAPICUIBA,SAOPAULO,
,127562501,TOLEDO,PARANA,
,48135915,SAOPAULO,SAOPAULO,
,32854765,RIBEIRAOPRETO,SAOPAULO,
,221438731,SAOLUIS,MARANHAO,
,363781064,SIMOESFILHO,BAHIA,
,147222253,BELOHORIZONTE,MINASGERAIS,
,171263045,FORTALEZA,CEARA,
,58312304,ANANINDEUA,PARA,
,281951744,IGARASSU,PERNAMBUCO,
,60962376,BELEM,PARA,
,196098672,DOURADOS,MATOGROSSODOSUL,
,359918112,MATUPA,MATOGROSSO,
,173490035,CASTANHAL,PARA,
,146423461,ITABIRA,MINASGERAIS,
,203686851,JERONIMOMONTEIRO,ESPIRITOSANTO,
,286210696,LAGONORTE,DISTRITOFEDERAL,
,276370560,DIASD'AVILA,BAHIA,
,56507829,SAOPAULO,SAOPAULO,
,295652336,ITAPEVI,SAOPAULO,
,26910792,SANTANADAPONTEPENSA,SAOPAULO,
,372611461,OROBO,PERNAMBUCO,
,204436099,ITABAIANA,SERGIPE,
,173974267,LAGONORTE,DISTRITOFEDERAL,
,280978013,SAOPAULO,SAOPAULO,
,185037725,AQUIRAZ,CEARA,
,761415000,PEDREIRAS,MARANHAO,
,380690133,JABOATAODOSGUARARAPES,PERNAMBUCO,
,60083395,LIMEIRA,SAOPAULO,
,288926283,APODI,RIOGRANDEDONORTE,
,70855461,PAULINIA,SAOPAULO,
,69617816,BOAVISTA,RORAIMA,
,9327587,LONDRINA,PARANA,
,290112232,SALVADOR,BAHIA,
,255424731,JUNDIAI,SAOPAULO,
,373360365,CASTANHAL,PARA,
,344005573,BRASILIA,DISTRITOFEDERAL,
,152235672,FORMIGA,MINASGERAIS,
