nulo,id_opr_cad_pos,id_mvt_cad_pos,id_pgt_cad_pos,dat_pgt,dat_vct_tfm,vlr_pgt_tfm,cod_mdl,cmd
,33e1144f-c85,9adeda9a-5bb,f6ebdbb4-265,03/07/19,2019-06-15,5344.6890,B05,I
,efdda055-972,a399e4f1-8d2,e80bd696-507,17/06/19,2019-06-15,91.6983,D01,E
,528b7aef-e19,448b0d3f-8f7,f1667d1d-f34,05/12/18,2018-12-10,6787.4673,B05,I
,95c65c3a-d46,6abefe83-3c3,aed97cbc-76b,01/12/19,2019-12-01,3056.7351,D01,I
,d771d582-e75,93bdcbaf-9c8,4db05a7e-e66,31/07/19,2019-07-20,2430.8598,C01,I
,84dc9f36-50a,7880e1b0-e8a,67f8b31d-b6e,11/02/19,2019-02-11,1101.3804,D01,I
,9e30f334-1c6,3e847cf1-07c,6fb821cd-fea,26/09/19,2019-10-01,2890.8108,C01,I
,84e0bc86-766,0a656c72-dc5,5df9fec2-614,19/08/19,2019-08-04,12633.7656,B05,I
,41a34861-439,594b8701-a01,e8a4fde7-c1c,10/07/19,2019-07-05,1130.1534,D01,I
,95c65c3a-d46,a0f3e208-eed,17da2e5f-d38,01/09/19,2019-09-01,1308.1707,D01,E
,03a8673c-3be,8a5b242d-422,fbcf4c1b-3e3,10/06/19,2019-06-10,395.7330,D01,E
,15007258-fd3,eb759847-3fc,25382215-fb9,16/04/19,2019-04-18,2771.6322,D01,E
,13f62e05-37b,b8a23648-f09,a11f962a-22d,24/01/19,2019-01-11,5894.1699,B05,I
,e6c4fdf0-441,456d09a6-cc5,7c206bf2-b65,07/12/18,2018-12-10,1790.4729,C01,I
,ca528dbd-3d6,ab41f77f-e37,56a0b9e5-bd8,17/07/19,2019-07-18,478.8411,D01,E
,21c9bf8c-eeb,81680ad5-71a,713e9a2c-2b5,09/09/19,2019-09-22,2412.6369,C01,I
,a8977158-83e,5d47f607-43c,ee0cf686-859,28/12/18,2018-12-29,3140.2185,B05,I
,33ea68d6-7ab,3bc57eea-c76,050c97a9-6f3,10/01/19,2019-01-10,4466.9040,D01,I
,1cc32441-c46,6f6b09e2-6ad,9cac0613-6b8,21/10/19,2019-10-21,10311.9096,D01,I
,ca528dbd-3d6,e9181f73-a0c,94d89f52-148,17/01/20,2020-01-18,358.9536,D01,E
,57ed55d7-6f0,5c5cf133-4d8,dcc7ac6e-6b7,20/05/19,2019-05-18,5281.1382,B05,I
,bb893ed1-579,7fc90878-d6e,2dd7f70f-8f5,10/04/19,2019-04-10,52.1250,D01,I
,0c5176c8-eea,3d5ef6d9-87d,3e8ae5ad-dd1,17/06/19,2019-06-15,2114.2317,C01,I
,ab29e149-b3d,99cb8b68-d16,80ad3152-b34,10/11/19,2019-11-10,3376.6992,D01,I
,431714a3-414,337054f9-741,d08832af-a4d,08/10/19,2019-10-16,675.5400,D01,E
,5832f502-f05,ad59bc85-d51,f38a9c0c-9e2,25/07/19,2019-07-12,683.9217,D01,E
,45bfd393-b7d,d6c65684-b8e,e0df29f1-1a2,20/10/19,2019-10-20,8705.7507,D01,E
,3178bfeb-aae,814cbf09-2a2,b5e18a3d-c07,09/07/19,2019-07-15,7470.5550,D01,I
,6c995c71-2fa,77169849-62e,46be3745-55b,01/10/19,2019-10-01,2376.9417,B05,I
,ef340332-e57,ff40b38e-8bd,53350e7e-9a7,08/02/19,2019-02-15,719.2416,D01,E
,337f5729-527,920b52fe-345,c8237bc2-82e,10/01/20,2020-01-13,4153.7787,D01,E
,19add5fe-b53,85284f3e-18e,8cf9ca09-f00,19/11/18,2018-11-19,2186.0808,B05,I
,84e0bc86-766,889f899a-bf5,f631a993-f43,27/11/18,2018-12-04,11644.0578,B05,I
,771a365c-79c,f59dba4e-b00,fa9b3cd0-f14,08/08/19,2019-08-08,22.2678,D01,E
,2a508e81-415,da5b51d1-896,d47e19c6-b54,10/12/18,2018-12-10,3479.4897,C01,I
,10363fd8-3b0,51c171ed-797,b52e86bc-dc4,12/08/19,2019-08-10,678.0837,D01,E
,8012abf7-3fc,9f3dbb7f-760,ae0f6e71-2c0,12/11/19,2019-11-17,3891.3606,B05,I
,676f4a12-daf,e6e42263-fe6,e4e53bdb-7b0,08/01/20,2020-01-08,69.8475,D01,E
,5dafd9ca-0b2,76537add-bc2,d98f4847-1bb,03/02/20,2020-02-10,3473.1513,D01,E
,f654970a-c4a,c1bf3c98-65e,b96adde3-5f7,10/03/19,2019-03-10,206.9154,D01,I
,8d15703b-eb8,a714d0a4-977,c2b8afb8-5d1,25/03/19,2019-03-25,52.4586,D01,E
,c53b564f-c73,2c7bcf82-31f,97c4343e-5e9,01/02/19,2019-02-10,2832.5559,C01,I
,9095ecc1-79d,77bab625-888,03bac856-ab4,14/10/19,2019-10-15,1856.9010,D01,E
,cf5371bd-b3e,8ac79411-149,a398730f-9ae,17/09/19,2019-09-15,502.7352,D01,E
,d6a67c59-382,3f835318-71b,d3dc009a-df4,20/11/19,2019-11-15,250.1583,D01,E
,37e61338-859,48061e41-bae,16332137-4f2,01/09/19,2019-09-01,4749.0879,D01,E
,33ea68d6-7ab,483f8bf6-53a,0e1f3cdc-d46,04/07/19,2019-07-10,5837.9583,D01,E
,075b6a62-ada,72546cb2-ea8,2c11cb66-07a,06/08/19,2019-08-10,3601.2537,C01,I
,d54e31b0-d13,0ddeaa5f-979,6468b533-f6b,10/08/19,2019-08-13,2040.3810,D01,I
,e675fba0-b93,0a2c68ea-20e,33d7c5d2-691,08/02/19,2019-02-08,686.5905,D01,I
,0662a91b-056,ba1ea2b5-645,dee58409-586,14/05/19,2019-03-10,1795.1433,C01,I
,7a05da0d-f2b,5f9811e7-f6b,78dfd667-5e7,03/01/20,2020-01-02,83.4000,D01,E
,d3ff797a-0c3,cc2cca79-a6f,8ed7b4ca-2d2,04/12/19,2019-12-10,1218.0570,D01,E
,4fa091d2-74d,0c05900c-095,4370fd54-3c1,15/07/19,2019-07-15,52.1250,D01,E
,8601f117-182,c84e2da9-18a,ffb9a7a1-15a,23/10/19,2019-10-10,1466.3388,C01,I
,e96287a2-be8,391e5677-784,c37879e1-ec0,18/02/19,2019-02-18,497.1891,D01,E
,e96287a2-be8,484d6825-a3c,ea56c6b2-cae,19/08/19,2019-08-16,510.1578,D01,I
,b0acd8f1-296,0928c448-ee7,04600419-171,25/08/19,2019-08-25,41.2413,D01,E
,bb893ed1-579,4a56d898-6c5,6e3fbd36-cc0,10/04/19,2019-04-10,52.1250,D01,E
,88042453-8ed,b2964f00-2c8,de11be5f-036,07/11/19,2019-11-04,5552.5635,B05,I
,5aa82382-71c,012c6990-689,69a73a9d-5d0,10/05/19,2019-05-10,567.3285,D01,E
,eff68c56-47f,2d0a4539-7fe,c02f6022-bf8,07/11/19,2019-11-08,1000.3413,D01,E
,ed0bd1d8-5de,03db6ca5-4c1,1b2d5973-031,19/11/19,2019-11-25,1607.6601,D01,E
,d61fdfc4-ff7,829347ab-853,8b3e978f-ef5,12/08/19,2019-08-10,189.7350,D01,E
,69e3fb45-b3f,57622297-42f,d0e9404b-0e1,03/06/19,2019-06-01,52.1250,D01,I
,41a34861-439,d0d6175e-7c5,f0514ac3-29a,07/08/19,2019-08-05,742.8855,D01,E
,3150a519-e9d,a26c6f7e-be2,eb3305fe-de4,15/11/19,2019-11-15,3856.6245,D01,E
,4c0a5f57-552,34d2e5ab-497,abe4cbb7-f56,23/01/19,2019-02-20,2409.1341,C01,I
,5583cf4c-fef,9c884766-78f,6a87e589-bbe,10/06/19,2019-06-10,62.5500,D01,E
,1f47a952-97e,9b51bf34-f09,c0a8e6e7-6b9,13/12/18,2020-08-10,3991.3989,B05,I
,7a05da0d-f2b,526fbc35-ba2,874271d0-b04,18/12/19,2019-12-02,327.5535,D01,E
,706a6c4e-4e8,19b420a2-730,70108b12-bca,02/09/19,2019-09-10,51.7080,D01,E
,e14a9706-52d,966460b9-4a5,0b5eb0f9-6bb,27/12/19,2020-01-01,283.6434,D01,E
,e14a9706-52d,c73bebeb-87c,e19eac87-53c,31/03/20,2020-04-01,1.5012,D01,E
,b590ad7b-dc5,2d575ece-0df,df79576f-f3d,10/07/19,2019-07-10,2908.7418,D01,I
,9bfebf79-3b1,c04c1dc7-228,fa4d02bf-fa0,08/07/19,2019-07-10,281.0163,D01,I
,ad5598e2-311,a0e69587-d37,95db2e6f-4c2,06/12/18,2018-12-06,3113.6973,B05,I
,a0c3f8f0-176,518f923e-983,3314a93b-e81,02/10/19,2019-10-10,50.8740,D01,E
,69e3fb45-b3f,38f43a2d-095,ed1ffbe4-f93,01/07/19,2019-07-01,56.2950,D01,E
,7bdd13c3-6c4,dc35ff42-ba5,175dab9d-c79,18/09/19,2019-10-01,78.8130,D01,E
,0405d533-8c3,5d5f430b-fd0,364ffe54-cd6,06/02/19,2019-02-06,967.3566,D01,E
,d7e3847d-146,0e76c7a5-669,303b7fd8-9ac,10/10/19,2019-12-11,4654.7625,B05,I
,4bf465d8-5da,00886934-31b,aa5f0045-1be,17/01/19,2019-01-29,3864.8811,B05,I
,dacbe759-083,aba78f59-baf,c488a104-c91,11/12/18,2018-12-13,2630.4777,B05,I
,926b4ce1-1de,b96d68b7-19f,01f0c5eb-0be,08/07/19,2019-07-05,3326.4090,B05,I
,9df3609e-507,ae049136-529,5fa651f7-6d9,19/11/18,2018-11-18,5559.9027,B05,I
,adff7057-692,e1b075f4-878,0fa3c4a1-183,22/10/18,2018-09-20,1213.5117,C01,I
,79ebfd4c-228,7cd8d3fc-a3b,d25e60e0-c5d,05/06/19,2019-07-10,1196.4981,D01,E
,ab29e149-b3d,d3a3fe8c-465,19f5db1b-294,05/08/19,2019-08-10,2847.7347,D01,E
,8552c9f3-6d2,fc6323fa-2a2,4cc91635-1d2,12/11/18,2018-11-10,2073.1572,C01,I
,7fd6249b-4cf,26cce4b0-edc,48677781-d2a,07/12/18,2020-09-12,6526.6338,B05,I
,fb2f2ff0-01c,7108aac6-be0,a4817f41-293,20/02/19,2019-02-20,4620.3183,C01,I
,e0dde5f2-060,a1e67fc8-b33,94ad3028-fb4,13/05/19,2019-05-20,705.7308,D01,E
,a55055bb-60b,b05f9762-ed5,930b3f2d-3e5,08/03/19,2019-01-10,2770.9650,C01,I
,219f8e3a-1e3,0eb7a15c-34a,9ede19f1-114,09/12/19,2019-12-06,3560.5128,D01,E
,c4ccd097-196,43944ee9-6ec,0408f469-041,13/03/19,2021-05-11,4020.5472,B05,I
,c4ccd097-196,b9211c2a-b8c,7c63d35f-e42,13/03/19,2022-09-11,4020.5472,B05,I
,6a77fcf8-248,db8cd600-469,15f6912a-dd7,12/04/19,2019-04-12,3315.1083,B05,I
,abaa355d-4d5,633539c0-1d1,bff13f94-33e,12/02/19,2019-06-25,62.5500,D01,E
,de2ae1e9-477,152397ce-5a7,8d049b27-10f,02/01/19,2018-12-30,3601.8792,B05,I
,15007258-fd3,00e094a8-e76,fa8d47ad-303,15/08/19,2019-08-18,2781.9738,D01,I
,86731dcd-ff9,83239db8-099,c2fe08de-c0e,07/06/19,2019-06-25,3528.9042,B05,I
,e9ac6a75-72a,bbbd52b1-283,b03abeca-cc3,07/01/19,2019-01-10,2289.1632,C01,I
,f742bb64-035,9dccb303-788,eb70daa6-2c1,28/10/19,2019-10-29,2907.0321,B05,I
,6da930ab-f32,1d39f607-4d2,413c9f4d-620,10/06/19,2019-06-13,1733.3856,D01,E
,b581d92f-ec1,793ceafb-996,ff34748f-fe5,15/01/19,2019-01-15,4607.9334,D01,I
,700c4bcc-9e3,2d2081e6-858,b8fa913c-857,20/11/19,2019-11-25,834.0000,D01,E
,875c24a3-05a,d92f1570-d5d,960a3155-19f,04/10/19,2019-09-23,1704.4875,D01,E
,cbb8129d-227,d6e239d6-9c8,b630d955-256,10/01/19,2019-01-10,163.9644,D01,I
,b9f26394-a10,ded992a9-43d,df1ad945-148,05/11/18,2018-11-05,8164.8600,C01,I
,771a365c-79c,79844eb5-47b,7715567c-d1e,26/08/19,2019-08-08,42.5340,D01,E
,87412e92-916,244bf061-f12,776e41c2-a68,06/06/19,2020-02-03,3410.7681,B05,I
,a320ed8c-95a,9cffbfd0-732,fccb3d51-6ae,05/12/18,2018-12-05,4626.4065,B05,I
,ea967471-474,b90dc5f6-fcb,e467a49a-bad,19/02/19,2020-11-20,2329.9458,B05,I
,b0af29c2-573,834f2421-154,30c2ea83-478,01/08/19,2019-07-20,2251.8000,D01,E
,b0af29c2-573,d594162a-630,b72c3d01-886,23/09/19,2019-09-20,3513.2250,D01,E
,ee663950-17f,1de94267-42b,e3fbde00-355,18/04/19,2019-04-26,3750.6648,B05,I
,9ee6304c-2c4,a969e0b0-052,fc82bada-408,10/06/19,2019-06-10,3566.1006,C01,I
,981b1a08-f0c,b72908a2-75f,6f034ee3-59d,07/08/19,2019-08-07,3114.0309,B05,I
,d9a6344e-3c7,f569fd21-8a5,49a4ce91-ba7,05/08/19,2019-07-20,4545.0081,C01,I
,d68eb010-35e,37f40422-b20,145005d3-660,01/05/19,2019-04-01,1119.5199,D01,I
,a8977158-83e,583e584e-3a6,0600d969-b7d,09/10/19,2020-07-29,3140.2185,B05,I
,527eb715-4de,e7d2d49f-7fd,770f2c02-4ce,21/05/19,2019-05-10,291.0660,D01,E
,40b70296-daf,8a288111-de9,d9cbb6a1-c4a,17/01/19,2019-01-17,2433.1950,B05,I
,7b3bc686-d7f,2ba57813-f03,42099c6c-8de,17/07/19,2019-07-17,690.6354,D01,E
,c258c593-7b0,a07653c5-39a,616cb3ae-0fe,24/01/19,2019-01-10,7689.1464,C01,I
,f08d54b4-a57,2fbdcbce-0d7,0940694f-0a9,25/03/19,2019-03-25,506.0295,D01,E
,ccbb406d-2e3,c3859bc4-30e,6eedfb18-544,30/09/19,2019-09-30,2416.7652,B05,I
,57bfba9e-17d,80453280-fb5,8872e358-8be,01/09/19,2019-09-01,15.8460,D01,E
,32f6794c-1c5,c1a2ac54-cbe,4c82de96-90e,17/06/19,2019-06-16,7715.2923,B05,I
,c7572103-736,13cfc182-8c6,c16bb9fc-602,11/03/19,2019-03-11,252.2433,D01,E
,2487a7a8-367,e272c59d-2ef,f864f254-d90,06/04/20,2020-04-06,1259.3400,D01,I
,34636ed7-da0,4bce7aa5-483,f7e1464a-16a,15/05/19,2019-05-15,5512.0728,B05,I
,9579c625-ec5,328e8453-669,d86c7053-261,04/04/19,2019-04-04,4161.1596,B05,I
,0215973f-2e5,988faf27-b8c,4217a8f4-13e,18/04/19,2019-04-21,2561.3391,C01,I
,0e48bf72-42d,8d9514cb-0b4,6f4820f5-c9b,05/06/19,2019-06-05,15992.2836,D01,E
,36c75d0d-e9a,c1086a94-57e,bd5cd623-aac,05/11/19,2019-11-07,1764.5355,D01,E
,7756cfae-6aa,d2d0c048-ad8,dbe04950-036,21/02/20,2020-03-05,3.1275,D01,E
,27a572fa-000,e1ca453f-879,1812b5c4-95f,10/11/19,2019-11-10,1708.0320,D01,E
,eb19e941-8fd,301affea-a2c,0bba4ab0-2e8,21/08/19,2019-11-14,6564.8310,B05,I
,95c65c3a-d46,84cf29cb-545,5b1ca4ba-d43,03/06/19,2019-06-01,821.0313,D01,E
,a7e79266-1b3,d5f3f43f-504,42c0895d-dea,13/12/18,2018-12-13,1878.5850,B05,I
,ab5bcdce-687,e749ecab-1d8,23824596-768,16/10/18,2018-10-22,3226.5375,C01,I
,2c415300-da0,8f2e4e91-726,26c77ab6-00e,15/02/19,2019-01-15,3600.0027,C01,I
,adff7057-692,67025021-6e6,2814f477-592,20/12/18,2018-11-20,1159.9272,C01,I
,9ffc104c-6f2,62c5c4cf-6bc,640c47b0-bb0,08/11/19,2019-11-12,2639.5266,C01,I
,3c1016a6-5fb,2e331ba5-9fa,b95034cc-4c1,08/03/19,2019-03-08,1257.5052,D01,E
,d258043c-a09,4f4a7a7d-ef6,d84c46e2-2de,09/07/19,2019-07-07,8803.2036,D01,E
,cbe13639-d1c,fa670e23-928,2a46217d-d50,11/02/19,2019-02-15,1463.3781,D01,E
,2a508e81-415,8fd7e935-c3a,184dffef-c28,10/07/19,2019-07-10,3586.5336,C01,I
,e61f75d7-58f,5b8bfa9a-088,934334c5-4fe,05/04/19,2019-04-01,458.0745,D01,E
,64790ae0-363,bd495512-176,936a3608-0eb,11/03/19,2019-03-15,3640.4517,C01,I
,4e046719-43e,56e0f956-98f,b793dcbf-8ca,17/05/19,2019-05-21,7211.0142,B05,I
,413cba4f-a33,6d7e2895-2b1,c0401a06-dfd,01/03/20,2020-03-01,62.5500,D01,E
,e6c4fdf0-441,dfef0f68-f67,c05a7651-090,04/01/19,2019-01-10,1789.2219,C01,I
,eb264fbf-91f,a91c25f0-06c,e9219a76-3f4,18/09/19,2019-09-18,68244.0516,D01,E
,ac2954ca-08e,6e7175f3-1f4,f6645de5-8a5,31/07/19,2019-07-22,3922.4271,B05,I
,eff68c56-47f,753d4357-7cd,42df11ce-4c3,09/09/19,2019-09-09,692.1783,D01,I
,086e8a28-7d0,e5aeeeed-331,dd789051-588,09/09/19,2019-09-13,3470.2323,D01,E
,0125d7e6-c95,be02cb3b-e58,c751b9d2-29b,06/08/19,2019-08-06,1408.4175,D01,I
,4874f1c4-ec9,1ef2b845-c94,07771ee1-0ef,12/11/18,2018-11-10,5156.8305,C01,I
,c36dcc29-9ae,258c20f3-e12,7b92ed9d-fb4,14/10/19,2019-10-19,3156.9402,B05,I
,7549f92c-eb0,155e4530-45c,56c86a46-bc9,30/04/19,2019-06-23,4250.6895,B05,I
,411d7e3f-7a0,a5d1e425-03c,1a282a34-44b,24/10/18,2018-11-20,2595.9084,C01,I
,337f5729-527,4700e321-e81,75e9f705-400,11/10/19,2019-10-11,1305.4185,D01,E
,687e08a0-e75,d51afc0b-a46,f8188aa4-419,12/11/18,2018-11-15,2631.5619,C01,I
,701e349c-ee3,a4dcc955-14f,c6a84dd5-342,08/08/19,2019-08-08,5418.9567,B05,I
,bf2a572a-066,243c2310-f5f,855d97ca-838,18/02/19,2019-02-23,7727.3853,B05,I
,676f4a12-daf,fea5d71f-370,55f11443-d22,08/03/20,2020-03-08,69.8475,D01,E
,8012abf7-3fc,55638aab-b31,f3deb48d-187,14/02/19,2019-02-17,3891.3606,B05,I
,d59ec2ea-0c0,d3be053a-9b5,7d077a6f-29d,07/10/19,2019-10-05,4903.5030,B05,I
,27c8e972-c16,b4c65477-86f,e766166f-f57,07/02/20,2020-02-05,70.5981,D01,E
,e0629158-26c,e6cb06b9-574,78f09b7c-a90,24/06/19,2019-07-22,3668.3907,B05,I
,e0629158-26c,af1f33f9-736,9f3fea2f-b6a,09/01/19,2019-01-22,3668.3907,B05,I
,2b07a3f6-3fc,70c87fbf-980,16e6c8af-2bc,11/10/19,2019-10-13,3311.8140,B05,I
,de4e31df-f95,87c6ae01-d8c,306ad1b0-9fe,08/03/19,2019-03-09,1664.6640,B05,I
,ceb8ea6d-b7c,7d43407d-382,615bb7e6-169,13/05/19,2019-05-12,1306.6695,C01,I
,b910109c-3db,3f924c01-5bc,20a798e3-d1f,05/12/19,2019-12-05,16541.0973,D01,I
,03f2e7bd-254,7c306169-81d,c6154831-d35,30/10/19,2019-10-30,3029.6301,B05,I
,00dbb4a1-3e8,90ae6d22-fda,6a2420c3-510,06/08/19,2019-08-05,5406.0714,D01,I
,57dc6300-ed7,9bc12e21-655,da3ebece-3b7,16/04/19,2019-02-20,2937.4731,C01,I
,9df3609e-507,8f92ad5c-27c,ce6b8dbe-d85,18/10/19,2019-10-18,5559.9027,B05,I
,8a6d252d-1a8,44b76f51-425,b9dc9879-c61,13/05/19,2019-05-12,2292.9162,D01,E
,41a34861-439,62c70605-130,60de94ca-44e,07/01/20,2020-01-05,962.6862,D01,E
,36cb14c4-7a3,16d2e77f-315,e9880569-b2f,04/12/18,2018-12-10,1341.3639,C01,I
,516fed1d-5a0,ac440213-a74,15e771c6-6f3,10/05/19,2019-05-10,4409.8167,C01,I
,7b825c8f-74f,14ab3bdd-aca,f28b359e-b74,27/12/19,2019-12-15,262.4598,D01,E
,6a9f9894-99c,004eb5da-f13,e561f9d4-ea1,13/03/19,2019-02-20,2052.3072,C01,I
,bdfea446-4c4,9dc07837-6ee,a5dfac73-c6e,22/02/19,2019-03-10,43.7850,D01,I
,be3b8f9b-425,a63af475-166,040540ce-275,03/10/19,2019-10-04,4061.2047,D01,E
,33ea68d6-7ab,eacff1a8-306,70d81a12-081,07/06/19,2019-06-10,3321.0714,D01,E
,39f4d862-4b1,eb48b201-cd7,82decf69-701,17/07/19,2019-07-18,5746.6770,B05,I
,eacd36e9-92c,5ccf23e4-9be,07967eec-e70,14/01/19,2019-01-12,3437.7480,C01,I
,609e1e95-75d,b408090d-ff5,2a3b2e1c-3cd,16/12/19,2019-12-05,208.2498,D01,E
,5832f502-f05,7f41ab94-b3e,4ba7f510-5a6,12/01/20,2020-01-12,22547.3985,D01,E
,ab90820e-b9c,6f4ce385-049,bc8e67b2-976,08/05/19,2019-05-08,195.5730,D01,I
,c92cb50c-41b,d72c7d6c-00e,adab3eab-f78,08/07/19,2019-07-04,7136.4963,B05,I
,27c8e972-c16,75f2f99c-732,6b9b8b98-4f0,06/12/19,2019-12-05,70.3479,D01,E
,ab5bcdce-687,6425d36c-2fe,f88b1b3e-772,24/12/18,2018-12-22,3242.8422,C01,I
,39f4d862-4b1,1cf7cfe0-43a,58e08d6f-05b,19/09/19,2019-09-18,5886.7473,B05,I
,9ac9855c-039,a559ae2f-184,1a38fa4c-317,09/04/19,2019-04-08,1047.2955,D01,E
,ab90820e-b9c,6e3ee943-2bf,fd2772ab-48e,08/09/19,2019-09-08,195.5730,D01,I
,1bf57e94-4d2,1e5a4ba5-2c2,8d6f3a40-974,10/09/19,2019-09-10,417.9174,D01,E
,5fb4cd9b-0a8,ae1694ee-fa0,98b73b3f-f48,31/01/19,2019-01-31,4033.8495,B05,I
,2842d6a1-b84,8f9acffe-d07,2a956bb0-446,28/08/19,2019-07-10,1507.7469,C01,I
,378d5d90-3c2,7748d673-07d,4454509e-e7e,05/12/18,2018-12-11,3385.1643,B05,I
,2ce6d4e0-ebe,ef258029-30a,9a4bdc52-a54,18/02/19,2019-02-25,41.6583,D01,E
,8fe8184e-361,b0b54bda-0b6,748c4ac0-dc7,10/10/19,2019-10-10,3321.4050,C01,I
,f3dce1aa-91b,5bb72369-0ba,aa4659c8-9ef,18/01/19,2019-01-21,3338.2935,D01,I
,65eaad4f-5ad,fe61a159-4ca,7f2dc8ba-3b9,12/02/20,2020-02-12,12531.6006,D01,E
,5e1c271f-69f,6a4fc2ab-7fc,18e5d57c-54d,15/08/19,2019-08-15,1329.2709,D01,E
,27a572fa-000,70f0e5b3-7ea,aac82c42-34b,10/12/19,2019-12-10,62.5500,D01,E
,6a90efcf-97a,f494cfe1-4b3,f34c06ef-86b,05/06/19,2019-06-05,4444.3860,B05,I
,cbb8129d-227,e78861ad-a44,501cfdf4-a1a,10/09/19,2019-09-10,37.4883,D01,E
,f08d54b4-a57,88c95983-3af,fbe9791c-a26,04/06/19,2019-05-25,2065.4844,D01,E
,926b4ce1-1de,314b5529-a87,6b5b9afe-4cb,11/09/19,2019-08-05,3509.8890,B05,I
,d478c127-02c,3d41c3b5-013,8a6f40d2-f67,21/01/19,2019-01-28,66.5949,D01,I
,d59ec2ea-0c0,5a4efcd1-20b,b2d0bd1c-92b,05/11/19,2019-11-05,4903.5030,B05,I
,18da73a0-260,159c6f27-0d5,e214f1c2-e7a,01/11/18,2018-11-10,2305.2177,C01,I
,1bf57e94-4d2,f7d4d3fa-032,71d3639f-5d2,10/01/20,2020-01-10,2772.3411,D01,E
,0ecfce21-bca,d1b6ac44-3b9,ffa46230-7c9,10/07/19,2019-07-10,641.3460,D01,E
,07e91685-e4f,,b261c393-f56,16/10/18,,64635.0000,C01,I
,7fca5a4c-d5a,d81f3937-4f0,c4508bae-6c5,30/12/19,2020-01-06,2118.1098,D01,E
,d9aa4606-078,d5a307a9-eef,a73a4832-5a2,14/11/19,2019-11-18,808.9800,D01,E
,3b3ed2f0-1a9,891db810-279,0edb475f-7f5,19/06/19,2019-06-10,2585.1498,C01,I
,ab90820e-b9c,d440bda7-f70,9c434e0c-20b,08/12/19,2019-12-08,195.5730,D01,E
,f30aafc6-782,727742c8-37f,3812f297-4c4,28/02/19,2019-03-01,2064.6504,D01,E
,5536ca9b-663,156ee37a-cbd,2842f80c-c7e,03/01/20,2019-12-25,530.6325,D01,E
,221c06ef-ded,a8888614-511,80467ea2-6bc,07/05/19,2019-04-24,17334.1896,D01,E
,d93c6ec8-c79,94e2125c-b7d,df324b86-28f,24/07/19,2019-07-20,1328.6037,C01,I
